"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping"
"Claim","Claim","","Adjudication Request
Preauthorization RequestPredetermination Request","",0,*,"","","","null {[]} {[]}
","Claim, Pre-determination or Pre-authorization","A provider issued list of professional services and products which have been provided, or are to be provided, to a patient which is sent to an insurer for reimbursement.","The Claim resource fulfills three information request requirements: Claim - a request for adjudication for reimbursement for products and/or services provided; Preauthorization - a request to authorize the future provision of products and/or services including an anticipated adjudication; and, Predetermination - a request for a non-bind adjudication of possible future products and/or services.","","","","","","","","",,,,,"",,,,"Claim",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}ltc-feeaudit-1:申報照顧組合代碼 BD03 或 DA01（交通接送）時，應填寫里程數與車號。 {item.productOrService.coding.where(code = 'BD03' or code = 'DA01').exists() implies (supportingInfo.category.coding.where(code = 'milage').exists() and supportingInfo.category.coding.where(code = 'carNo').exists())}ltc-feeaudit-2:申報照顧組合代碼 BD03（社區式服務交通接送）時，應填寫服務使用類型。 {item.productOrService.coding.where(code = 'BD03').exists() implies supportingInfo.category.coding.where(code = 'bd03Type').exists()}ltc-feeaudit-3:申報照顧組合代碼 AA00（A 單位個案管理服務）時，應填寫服務項目、服務對象與服務內容。 {item.productOrService.coding.where(code = 'AA00').exists() implies (supportingInfo.category.coding.where(code = 'svcItem').exists() and supportingInfo.category.coding.where(code = 'svcPeople').exists() and supportingInfo.category.coding.where(code = 'svcContent').exists())}ltc-feeaudit-4:申報照顧組合代碼 AA03（專業服務）時，應填寫服務項目與提供專業服務單位。 {item.productOrService.coding.where(code = 'AA03').exists() implies (supportingInfo.category.coding.where(code = 'svcItem').exists() and supportingInfo.category.coding.where(code = 'svcUnit').exists())}","Request","Entity. Role, or Act"
"Claim.id","Claim.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Claim.supportingInfo:addrFrom.sequence","Claim.supportingInfo.sequence","","","",1,1,"","","","positiveInt {[]} {[]}
","Information instance identifier","A number to uniquely identify supporting information entries.","","Necessary to maintain the order of the supporting information items and provide a mechanism to link to claim details.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.sequence",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:addrFrom.category","Claim.supportingInfo.category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","補充資料的類別。[應填入支付審查服務紀錄補充資訊類別代碼]","The general class of the information supplied: information; exception; accident, employment; onset, etc.","This may contain a category for the local bill type codes.","Required to group or associate information items with common characteristics. For example: admission information or prior treatments.","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://ltc-ig.fhir.tw/CodeSystem/cs-tw-ltc-feeaudit-supporting-info""/>
    <code value=""addrFrom""/>
  </coding>
</valueCodeableConcept>","","","",,"extensible","","http://ltc-ig.fhir.tw/ValueSet/vs-tw-ltc-feeaudit-supporting-info","",,,,"Claim.supportingInfo.category",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:addrFrom.code","Claim.supportingInfo.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","補充資料的代碼。[應依資料類別填入對應 Slice 值集的代碼]","System and code pertaining to the specific information regarding special conditions relating to the setting, treatment or patient  for which care is sought.","","Required to identify the kind of additional information.","","","","","","","",,"example","The valuset used for additional information codes.","http://hl7.org/fhir/ValueSet/claim-exception|4.0.1","",,,,"Claim.supportingInfo.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:addrFrom.timing[x]","Claim.supportingInfo.timing[x]","","","",0,1,"","","","date {[]} {[]}
Period {[]} {[]}","When it occurred","The date when or period to which this information refers.","","","","","","","","","",,,,,"",,,,"Claim.supportingInfo.timing[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:addrFrom.value[x]","Claim.supportingInfo.value[x]","","","",1,1,"Y","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/LTCLocationFeeAuditPlace]]}
","Data to be provided","Additional data or information such as resources, documents, images etc. including references to the data or the actual inclusion of the data.","Could be used to provide references to other resources, document. For example could contain a PDF in an Attachment of the Police Report for an Accident.","To convey the data content to be provided when the information is more than a simple code or period.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:addrFrom.reason","Claim.supportingInfo.reason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Explanation for the information","Provides the reason in the situation where a reason code is required in addition to the content.","For example: the reason for the additional stay, or why a tooth is  missing.","Needed when the supporting information has both a date and amount/value and requires explanation.","","","","","","","",,"example","Reason codes for the missing teeth.","http://hl7.org/fhir/ValueSet/missing-tooth-reason|4.0.1","",,,,"Claim.supportingInfo.reason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:addrTo","Claim.supportingInfo","addrTo","Attachments
Exception Codes
Occurrence Codes
Value codes
","",0,1,"Y","","","BackboneElement {[]} {[]}
","接送的目的地，申報 BD03、DA01 時填寫。[應在 valueReference 填入對應 Location 的 Reference]","應參照符合 LTCLocationFeeAuditPlace 的地點資料。地點名稱填入 Location.name，地址填入 Location.address；如提供經緯度，應同時填寫 Location.position.latitude 與 Location.position.longitude。","Often there are multiple jurisdiction specific valuesets which are required.","Typically these information codes are required to support the services rendered or the adjudication of the services rendered.","","","","","","","",,,,,"",,,,"Claim.supportingInfo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.supportingInfo"
"Claim.supportingInfo:addrTo.id","Claim.supportingInfo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.supportingInfo:addrTo.extension","Claim.supportingInfo.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.supportingInfo:addrTo.modifierExtension","Claim.supportingInfo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Claim.supportingInfo:addrTo.sequence","Claim.supportingInfo.sequence","","","",1,1,"","","","positiveInt {[]} {[]}
","Information instance identifier","A number to uniquely identify supporting information entries.","","Necessary to maintain the order of the supporting information items and provide a mechanism to link to claim details.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.sequence",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:addrTo.category","Claim.supportingInfo.category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","補充資料的類別。[應填入支付審查服務紀錄補充資訊類別代碼]","The general class of the information supplied: information; exception; accident, employment; onset, etc.","This may contain a category for the local bill type codes.","Required to group or associate information items with common characteristics. For example: admission information or prior treatments.","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://ltc-ig.fhir.tw/CodeSystem/cs-tw-ltc-feeaudit-supporting-info""/>
    <code value=""addrTo""/>
  </coding>
</valueCodeableConcept>","","","",,"extensible","","http://ltc-ig.fhir.tw/ValueSet/vs-tw-ltc-feeaudit-supporting-info","",,,,"Claim.supportingInfo.category",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:addrTo.code","Claim.supportingInfo.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","補充資料的代碼。[應依資料類別填入對應 Slice 值集的代碼]","System and code pertaining to the specific information regarding special conditions relating to the setting, treatment or patient  for which care is sought.","","Required to identify the kind of additional information.","","","","","","","",,"example","The valuset used for additional information codes.","http://hl7.org/fhir/ValueSet/claim-exception|4.0.1","",,,,"Claim.supportingInfo.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:addrTo.timing[x]","Claim.supportingInfo.timing[x]","","","",0,1,"","","","date {[]} {[]}
Period {[]} {[]}","When it occurred","The date when or period to which this information refers.","","","","","","","","","",,,,,"",,,,"Claim.supportingInfo.timing[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:addrTo.value[x]","Claim.supportingInfo.value[x]","","","",1,1,"Y","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/LTCLocationFeeAuditPlace]]}
","Data to be provided","Additional data or information such as resources, documents, images etc. including references to the data or the actual inclusion of the data.","Could be used to provide references to other resources, document. For example could contain a PDF in an Attachment of the Police Report for an Accident.","To convey the data content to be provided when the information is more than a simple code or period.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:addrTo.reason","Claim.supportingInfo.reason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Explanation for the information","Provides the reason in the situation where a reason code is required in addition to the content.","For example: the reason for the additional stay, or why a tooth is  missing.","Needed when the supporting information has both a date and amount/value and requires explanation.","","","","","","","",,"example","Reason codes for the missing teeth.","http://hl7.org/fhir/ValueSet/missing-tooth-reason|4.0.1","",,,,"Claim.supportingInfo.reason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:carNo","Claim.supportingInfo","carNo","Attachments
Exception Codes
Occurrence Codes
Value codes
","",0,1,"Y","","","BackboneElement {[]} {[]}
","接送車輛的車牌號碼，申報 BD03、DA01 時必填。[應在 valueString 填入最長 10 個字元的字串]","Additional information codes regarding exceptions, special considerations, the condition, situation, prior or concurrent issues.","Often there are multiple jurisdiction specific valuesets which are required.","Typically these information codes are required to support the services rendered or the adjudication of the services rendered.","","","","","","","",,,,,"",,,,"Claim.supportingInfo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.supportingInfo"
"Claim.supportingInfo:carNo.id","Claim.supportingInfo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.supportingInfo:carNo.extension","Claim.supportingInfo.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.supportingInfo:carNo.modifierExtension","Claim.supportingInfo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Claim.supportingInfo:carNo.sequence","Claim.supportingInfo.sequence","","","",1,1,"","","","positiveInt {[]} {[]}
","Information instance identifier","A number to uniquely identify supporting information entries.","","Necessary to maintain the order of the supporting information items and provide a mechanism to link to claim details.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.sequence",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:carNo.category","Claim.supportingInfo.category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","補充資料的類別。[應填入支付審查服務紀錄補充資訊類別代碼]","The general class of the information supplied: information; exception; accident, employment; onset, etc.","This may contain a category for the local bill type codes.","Required to group or associate information items with common characteristics. For example: admission information or prior treatments.","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://ltc-ig.fhir.tw/CodeSystem/cs-tw-ltc-feeaudit-supporting-info""/>
    <code value=""carNo""/>
  </coding>
</valueCodeableConcept>","","","",,"extensible","","http://ltc-ig.fhir.tw/ValueSet/vs-tw-ltc-feeaudit-supporting-info","",,,,"Claim.supportingInfo.category",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:carNo.code","Claim.supportingInfo.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","補充資料的代碼。[應依資料類別填入對應 Slice 值集的代碼]","System and code pertaining to the specific information regarding special conditions relating to the setting, treatment or patient  for which care is sought.","","Required to identify the kind of additional information.","","","","","","","",,"example","The valuset used for additional information codes.","http://hl7.org/fhir/ValueSet/claim-exception|4.0.1","",,,,"Claim.supportingInfo.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:carNo.timing[x]","Claim.supportingInfo.timing[x]","","","",0,1,"","","","date {[]} {[]}
Period {[]} {[]}","When it occurred","The date when or period to which this information refers.","","","","","","","","","",,,,,"",,,,"Claim.supportingInfo.timing[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:carNo.value[x]","Claim.supportingInfo.value[x]","","","",1,1,"Y","","","string {[]} {[]}
","Data to be provided","Additional data or information such as resources, documents, images etc. including references to the data or the actual inclusion of the data.","Could be used to provide references to other resources, document. For example could contain a PDF in an Attachment of the Police Report for an Accident.","To convey the data content to be provided when the information is more than a simple code or period.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:carNo.reason","Claim.supportingInfo.reason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Explanation for the information","Provides the reason in the situation where a reason code is required in addition to the content.","For example: the reason for the additional stay, or why a tooth is  missing.","Needed when the supporting information has both a date and amount/value and requires explanation.","","","","","","","",,"example","Reason codes for the missing teeth.","http://hl7.org/fhir/ValueSet/missing-tooth-reason|4.0.1","",,,,"Claim.supportingInfo.reason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:driver","Claim.supportingInfo","driver","Attachments
Exception Codes
Occurrence Codes
Value codes
","",0,1,"Y","","","BackboneElement {[]} {[]}
","接送駕駛員的姓名，申報 BD03、DA01 時填寫。[應在 valueString 填入最長 20 個字元的字串]","Additional information codes regarding exceptions, special considerations, the condition, situation, prior or concurrent issues.","Often there are multiple jurisdiction specific valuesets which are required.","Typically these information codes are required to support the services rendered or the adjudication of the services rendered.","","","","","","","",,,,,"",,,,"Claim.supportingInfo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.supportingInfo"
"Claim.supportingInfo:driver.id","Claim.supportingInfo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.supportingInfo:driver.extension","Claim.supportingInfo.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.supportingInfo:driver.modifierExtension","Claim.supportingInfo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Claim.supportingInfo:driver.sequence","Claim.supportingInfo.sequence","","","",1,1,"","","","positiveInt {[]} {[]}
","Information instance identifier","A number to uniquely identify supporting information entries.","","Necessary to maintain the order of the supporting information items and provide a mechanism to link to claim details.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.sequence",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:driver.category","Claim.supportingInfo.category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","補充資料的類別。[應填入支付審查服務紀錄補充資訊類別代碼]","The general class of the information supplied: information; exception; accident, employment; onset, etc.","This may contain a category for the local bill type codes.","Required to group or associate information items with common characteristics. For example: admission information or prior treatments.","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://ltc-ig.fhir.tw/CodeSystem/cs-tw-ltc-feeaudit-supporting-info""/>
    <code value=""driver""/>
  </coding>
</valueCodeableConcept>","","","",,"extensible","","http://ltc-ig.fhir.tw/ValueSet/vs-tw-ltc-feeaudit-supporting-info","",,,,"Claim.supportingInfo.category",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:driver.code","Claim.supportingInfo.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","補充資料的代碼。[應依資料類別填入對應 Slice 值集的代碼]","System and code pertaining to the specific information regarding special conditions relating to the setting, treatment or patient  for which care is sought.","","Required to identify the kind of additional information.","","","","","","","",,"example","The valuset used for additional information codes.","http://hl7.org/fhir/ValueSet/claim-exception|4.0.1","",,,,"Claim.supportingInfo.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:driver.timing[x]","Claim.supportingInfo.timing[x]","","","",0,1,"","","","date {[]} {[]}
Period {[]} {[]}","When it occurred","The date when or period to which this information refers.","","","","","","","","","",,,,,"",,,,"Claim.supportingInfo.timing[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:driver.value[x]","Claim.supportingInfo.value[x]","","","",1,1,"Y","","","string {[]} {[]}
","Data to be provided","Additional data or information such as resources, documents, images etc. including references to the data or the actual inclusion of the data.","Could be used to provide references to other resources, document. For example could contain a PDF in an Attachment of the Police Report for an Accident.","To convey the data content to be provided when the information is more than a simple code or period.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:driver.reason","Claim.supportingInfo.reason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Explanation for the information","Provides the reason in the situation where a reason code is required in addition to the content.","For example: the reason for the additional stay, or why a tooth is  missing.","Needed when the supporting information has both a date and amount/value and requires explanation.","","","","","","","",,"example","Reason codes for the missing teeth.","http://hl7.org/fhir/ValueSet/missing-tooth-reason|4.0.1","",,,,"Claim.supportingInfo.reason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:milage","Claim.supportingInfo","milage","Attachments
Exception Codes
Occurrence Codes
Value codes
","",0,1,"Y","","","BackboneElement {[]} {[]}
","接送里程數，申報 BD03、DA01 時必填。[應在 valueQuantity 填入里程數與單位，建議單位為公里（km）]","Additional information codes regarding exceptions, special considerations, the condition, situation, prior or concurrent issues.","Often there are multiple jurisdiction specific valuesets which are required.","Typically these information codes are required to support the services rendered or the adjudication of the services rendered.","","","","","","","",,,,,"",,,,"Claim.supportingInfo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.supportingInfo"
"Claim.supportingInfo:milage.id","Claim.supportingInfo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.supportingInfo:milage.extension","Claim.supportingInfo.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.supportingInfo:milage.modifierExtension","Claim.supportingInfo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
