"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－身體評估評估欄位對應"
"HNBodyEvaluationsModel","HNBodyEvaluationsModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－身體評估評估邏輯模型","描述居家護理身體評估評估的資料需求。依 V5.0.16 有效欄位建立，來源欄位對應另列於 Mapping。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNBodyEvaluationsModel.bodyQuestions.qcd675f81.answer","HNBodyEvaluationsModel.bodyQuestions.qcd675f81.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-1ffa1d5d3bef","",,,,"HNBodyEvaluationsModel.bodyQuestions.qcd675f81.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qcd675f81').item.where(linkId='BodyQuestions.qcd675f81.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.qcd675f81.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.qcd675f81.multipleAnswer","","","",0,1,"","","","string {[]} {[]}
","評估多選答案","評估多選答案。以逗號分隔選項；視力與聽力部位使用此欄。","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qcd675f81.multipleAnswer",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qcd675f81').item.where(linkId='BodyQuestions.qcd675f81.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.qcd675f81.other","HNBodyEvaluationsModel.bodyQuestions.qcd675f81.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qcd675f81.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qcd675f81').item.where(linkId='BodyQuestions.qcd675f81.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q3adf788d","HNBodyEvaluationsModel.bodyQuestions.q3adf788d","","","",1,1,"","","","BackboneElement {[]} {[]}
","肌力-輔具","肌力-輔具","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q3adf788d",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3adf788d')"
"HNBodyEvaluationsModel.bodyQuestions.q3adf788d.id","HNBodyEvaluationsModel.bodyQuestions.q3adf788d.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.q3adf788d.extension","HNBodyEvaluationsModel.bodyQuestions.q3adf788d.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q3adf788d.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q3adf788d.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q3adf788d.answer","HNBodyEvaluationsModel.bodyQuestions.q3adf788d.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-49fe20230ec3","",,,,"HNBodyEvaluationsModel.bodyQuestions.q3adf788d.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3adf788d').item.where(linkId='BodyQuestions.q3adf788d.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q3adf788d.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q3adf788d.multipleAnswer","","","",0,*,"","","","Coding {[]} {[]}
","評估多選答案","評估多選答案。來源為逗號分隔字串。FHIR 使用多筆 Coding 答案，回寫時依序以逗號串接。","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-1a72d15a5965","",,,,"HNBodyEvaluationsModel.bodyQuestions.q3adf788d.multipleAnswer",0,*,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3adf788d').item.where(linkId='BodyQuestions.q3adf788d.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q3adf788d.other","HNBodyEvaluationsModel.bodyQuestions.q3adf788d.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q3adf788d.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3adf788d').item.where(linkId='BodyQuestions.q3adf788d.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q4ce17519","HNBodyEvaluationsModel.bodyQuestions.q4ce17519","","","",1,1,"","","","BackboneElement {[]} {[]}
","跌倒","跌倒","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q4ce17519",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q4ce17519')"
"HNBodyEvaluationsModel.bodyQuestions.q4ce17519.id","HNBodyEvaluationsModel.bodyQuestions.q4ce17519.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.q4ce17519.extension","HNBodyEvaluationsModel.bodyQuestions.q4ce17519.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q4ce17519.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q4ce17519.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q4ce17519.answer","HNBodyEvaluationsModel.bodyQuestions.q4ce17519.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-19264db8df7b","",,,,"HNBodyEvaluationsModel.bodyQuestions.q4ce17519.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q4ce17519').item.where(linkId='BodyQuestions.q4ce17519.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q4ce17519.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q4ce17519.multipleAnswer","","","",0,*,"","","","Coding {[]} {[]}
","評估多選答案","評估多選答案。來源為逗號分隔字串。FHIR 使用多筆 Coding 答案，回寫時依序以逗號串接。","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-3bbfa4b4f8db","",,,,"HNBodyEvaluationsModel.bodyQuestions.q4ce17519.multipleAnswer",0,*,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q4ce17519').item.where(linkId='BodyQuestions.q4ce17519.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q4ce17519.other","HNBodyEvaluationsModel.bodyQuestions.q4ce17519.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q4ce17519.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q4ce17519').item.where(linkId='BodyQuestions.q4ce17519.Other')"
"HNBodyEvaluationsModel.bodyQuestions.qcc99d785","HNBodyEvaluationsModel.bodyQuestions.qcc99d785","","","",1,1,"","","","BackboneElement {[]} {[]}
","跌倒次數","跌倒次數","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qcc99d785",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qcc99d785')"
"HNBodyEvaluationsModel.bodyQuestions.qcc99d785.id","HNBodyEvaluationsModel.bodyQuestions.qcc99d785.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.qcc99d785.extension","HNBodyEvaluationsModel.bodyQuestions.qcc99d785.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qcc99d785.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.qcc99d785.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qcc99d785.answer","HNBodyEvaluationsModel.bodyQuestions.qcc99d785.answer","","","",1,1,"","","","string {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qcc99d785.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qcc99d785').item.where(linkId='BodyQuestions.qcc99d785.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.qcc99d785.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.qcc99d785.multipleAnswer","","","",0,1,"","","","string {[]} {[]}
","評估多選答案","評估多選答案。以逗號分隔選項；視力與聽力部位使用此欄。","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qcc99d785.multipleAnswer",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qcc99d785').item.where(linkId='BodyQuestions.qcc99d785.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.qcc99d785.other","HNBodyEvaluationsModel.bodyQuestions.qcc99d785.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qcc99d785.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qcc99d785').item.where(linkId='BodyQuestions.qcc99d785.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d","HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d","","","",1,1,"","","","BackboneElement {[]} {[]}
","行為","行為","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q1ea67d8d')"
"HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.id","HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.extension","HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.answer","HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-365bfce838bb","",,,,"HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q1ea67d8d').item.where(linkId='BodyQuestions.q1ea67d8d.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.multipleAnswer","","","",0,*,"","","","Coding {[]} {[]}
","評估多選答案","評估多選答案。來源為逗號分隔字串。FHIR 使用多筆 Coding 答案，回寫時依序以逗號串接。","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-46c8866533a0","",,,,"HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.multipleAnswer",0,*,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q1ea67d8d').item.where(linkId='BodyQuestions.q1ea67d8d.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.other","HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q1ea67d8d.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q1ea67d8d').item.where(linkId='BodyQuestions.q1ea67d8d.Other')"
"HNBodyEvaluationsModel.bodyQuestions.qca5f735b","HNBodyEvaluationsModel.bodyQuestions.qca5f735b","","","",1,1,"","","","BackboneElement {[]} {[]}
","睡眠","睡眠","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qca5f735b",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qca5f735b')"
"HNBodyEvaluationsModel.bodyQuestions.qca5f735b.id","HNBodyEvaluationsModel.bodyQuestions.qca5f735b.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.qca5f735b.extension","HNBodyEvaluationsModel.bodyQuestions.qca5f735b.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qca5f735b.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.qca5f735b.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qca5f735b.answer","HNBodyEvaluationsModel.bodyQuestions.qca5f735b.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-ef4daeacd99a","",,,,"HNBodyEvaluationsModel.bodyQuestions.qca5f735b.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qca5f735b').item.where(linkId='BodyQuestions.qca5f735b.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.qca5f735b.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.qca5f735b.multipleAnswer","","","",0,*,"","","","Coding {[]} {[]}
","評估多選答案","評估多選答案。來源為逗號分隔字串。FHIR 使用多筆 Coding 答案，回寫時依序以逗號串接。","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-c34dc3f43d82","",,,,"HNBodyEvaluationsModel.bodyQuestions.qca5f735b.multipleAnswer",0,*,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qca5f735b').item.where(linkId='BodyQuestions.qca5f735b.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.qca5f735b.other","HNBodyEvaluationsModel.bodyQuestions.qca5f735b.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qca5f735b.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qca5f735b').item.where(linkId='BodyQuestions.qca5f735b.Other')"
"HNBodyEvaluationsModel.bodyQuestions.qd8db9643","HNBodyEvaluationsModel.bodyQuestions.qd8db9643","","","",1,1,"","","","BackboneElement {[]} {[]}
","服用藥物","服用藥物","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qd8db9643",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qd8db9643')"
"HNBodyEvaluationsModel.bodyQuestions.qd8db9643.id","HNBodyEvaluationsModel.bodyQuestions.qd8db9643.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.qd8db9643.extension","HNBodyEvaluationsModel.bodyQuestions.qd8db9643.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
