"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 在宅急症資料集與 FHIR 資源對照","Mapping: RIM Mapping"
"HAHCareDataset.observation.component","HAHCareDataset.observation.component","","","",0,*,"","","","BackboneElement {[]} {[]}
","同次量測組成值","同次量測組成值。[血壓等複合量測分別填入各組成結果；單項檢驗不用此欄位。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.component",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Observation.component"
"HAHCareDataset.observation.component.id","HAHCareDataset.observation.component.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.observation.component.extension","HAHCareDataset.observation.component.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.observation.component.modifierExtension","HAHCareDataset.observation.component.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.observation.component.code","HAHCareDataset.observation.component.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","組成項目","組成項目。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.component.code",1,1,"","","Observation.component.code"
"HAHCareDataset.observation.component.value","HAHCareDataset.observation.component.value","","","",1,1,"","","","Quantity {[]} {[]}
","組成數值","組成數值。[填入數值、單位及單位代碼系統。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.component.value",1,1,"","","Observation.component.valueQuantity"
"HAHCareDataset.observation.device","HAHCareDataset.observation.device","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHDevice]]}
","量測設備","量測設備。[應填入對應的 HAHDevice Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.device",0,1,"","","Observation.device"
"HAHCareDataset.observation.encounter","HAHCareDataset.observation.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHEncounter]]}
","量測對應就診","量測對應就診。[應填入對應的 HAHEncounter Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.encounter",0,1,"","","Observation.encounter"
"HAHCareDataset.observation.specimen","HAHCareDataset.observation.specimen","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
","檢體","檢體。[應填入對應的 Specimen Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.specimen",0,1,"","","Observation.specimen"
"HAHCareDataset.observation.referenceRange","HAHCareDataset.observation.referenceRange","","","",0,*,"","","","Range {[]} {[]}
","參考區間","參考區間。[依此欄位型態填入實際資料。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.referenceRange",0,*,"","","Observation.referenceRange.low/high"
"HAHCareDataset.report","HAHCareDataset.report","","","",0,*,"","","","BackboneElement {[]} {[]}
","檢驗報告","檢驗報告。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.report",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHDiagnosticReport"
"HAHCareDataset.report.id","HAHCareDataset.report.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.report.extension","HAHCareDataset.report.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.report.modifierExtension","HAHCareDataset.report.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.report.identifier","HAHCareDataset.report.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","報告識別碼","報告識別碼。[填入識別系統 system 與識別值 value。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.report.identifier",0,*,"","","DiagnosticReport.identifier"
"HAHCareDataset.report.code","HAHCareDataset.report.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","報告種類","報告種類。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.report.code",1,1,"","","DiagnosticReport.code"
"HAHCareDataset.report.status","HAHCareDataset.report.status","","","",1,1,"","","","code {[]} {[]}
","報告狀態","報告狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/diagnostic-report-status","",,,,"HAHCareDataset.report.status",1,1,"","","DiagnosticReport.status"
"HAHCareDataset.report.result","HAHCareDataset.report.result","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHObservationLab]]}
","單項結果","單項結果。[應填入對應的 HAHObservationLab Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.report.result",1,*,"","","DiagnosticReport.result"
"HAHCareDataset.report.specimen","HAHCareDataset.report.specimen","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
","檢體","檢體。[應填入對應的 Specimen Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.report.specimen",0,*,"","","DiagnosticReport.specimen"
"HAHCareDataset.report.issued","HAHCareDataset.report.issued","","","",1,1,"","","","instant {[]} {[]}
","報告發布時間","報告發布時間。[依此欄位型態填入實際資料。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.report.issued",1,1,"","","DiagnosticReport.issued"
"HAHCareDataset.medicationOrder","HAHCareDataset.medicationOrder","","","",0,*,"","","","BackboneElement {[]} {[]}
","給藥處方","給藥處方。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.medicationOrder",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHMedicationRequest"
"HAHCareDataset.medicationOrder.id","HAHCareDataset.medicationOrder.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.medicationOrder.extension","HAHCareDataset.medicationOrder.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.medicationOrder.modifierExtension","HAHCareDataset.medicationOrder.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.medicationOrder.medication","HAHCareDataset.medicationOrder.medication","","","",1,1,"","","","CodeableConcept {[]} {[]}
","藥品","藥品。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.medicationOrder.medication",1,1,"","","MedicationRequest.medicationCodeableConcept 或 medicationReference"
"HAHCareDataset.medicationOrder.status","HAHCareDataset.medicationOrder.status","","","",1,1,"","","","code {[]} {[]}
","處方狀態","處方狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/medicationrequest-status","",,,,"HAHCareDataset.medicationOrder.status",1,1,"","","MedicationRequest.status"
"HAHCareDataset.medicationOrder.intent","HAHCareDataset.medicationOrder.intent","","","",1,1,"","","","code {[]} {[]}
","處方意圖","處方意圖。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/medicationrequest-intent","",,,,"HAHCareDataset.medicationOrder.intent",1,1,"","","MedicationRequest.intent"
"HAHCareDataset.medicationOrder.dosage","HAHCareDataset.medicationOrder.dosage","","","",1,*,"","","","Dosage {[]} {[]}
","劑量頻率與途徑","劑量頻率與途徑。[填入用法文字；已知的頻率、途徑、劑量及速率應分別填入 Dosage 子欄位。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.medicationOrder.dosage",1,*,"","","MedicationRequest.dosageInstruction"
"HAHCareDataset.medicationOrder.requester","HAHCareDataset.medicationOrder.requester","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","開立者","開立者。[應填入對應的 Practitioner／PractitionerRole Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.medicationOrder.requester",1,1,"","","MedicationRequest.requester"
"HAHCareDataset.administration","HAHCareDataset.administration","","","",0,*,"","","","BackboneElement {[]} {[]}
","實際給藥","實際給藥。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.administration",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHMedicationAdministration"
"HAHCareDataset.administration.id","HAHCareDataset.administration.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.administration.extension","HAHCareDataset.administration.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.administration.modifierExtension","HAHCareDataset.administration.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.administration.request","HAHCareDataset.administration.request","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHMedicationRequest]]}
","對應處方","對應處方。[應填入對應的 HAHMedicationRequest Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.administration.request",1,1,"","","MedicationAdministration.request"
"HAHCareDataset.administration.status","HAHCareDataset.administration.status","","","",1,1,"","","","code {[]} {[]}
","給藥狀態","給藥狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/medication-admin-status","",,,,"HAHCareDataset.administration.status",1,1,"","","MedicationAdministration.status"
"HAHCareDataset.administration.reason","HAHCareDataset.administration.reason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","未給藥或停止原因","未給藥或停止原因。[未給藥或停止時填入原因。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.administration.reason",0,*,"","","MedicationAdministration.statusReason"
"HAHCareDataset.administration.time","HAHCareDataset.administration.time","","","",0,1,"","","","dateTime {[]} {[]}
","單次給藥時間","單次給藥時間。[單次給藥填實際時間；持續輸注改填期間。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.administration.time",0,1,"","","MedicationAdministration.effectiveDateTime"
"HAHCareDataset.administration.period","HAHCareDataset.administration.period","","","",0,1,"","","","Period {[]} {[]}
","輸注期間","輸注期間。[持續輸注填實際起訖期間，不能用排程代替。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.administration.period",0,1,"","","MedicationAdministration.effectivePeriod"
"HAHCareDataset.administration.dose","HAHCareDataset.administration.dose","","","",0,1,"","","","Quantity {[]} {[]}
","給藥劑量","給藥劑量。[填實際劑量及單位；尚未給藥時不強填零值。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.administration.dose",0,1,"","","MedicationAdministration.dosage.dose"
"HAHCareDataset.administration.rate","HAHCareDataset.administration.rate","","","",0,1,"","","","Quantity {[]} {[]}
","給藥速率","給藥速率。[填輸注速率與單位，例如 mL/h；不代表處方建議。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.administration.rate",0,1,"","","MedicationAdministration.dosage.rateQuantity"
"HAHCareDataset.administration.route","HAHCareDataset.administration.route","","","",0,1,"","","","CodeableConcept {[]} {[]}
","給藥途徑","給藥途徑。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.administration.route",0,1,"","","MedicationAdministration.dosage.route"
"HAHCareDataset.assessment","HAHCareDataset.assessment","","","",0,*,"","","","BackboneElement {[]} {[]}
","臨床評估","臨床評估。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.assessment",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHClinicalImpression"
"HAHCareDataset.assessment.id","HAHCareDataset.assessment.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.assessment.extension","HAHCareDataset.assessment.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.assessment.modifierExtension","HAHCareDataset.assessment.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.assessment.summary","HAHCareDataset.assessment.summary","","","",1,1,"","","","string {[]} {[]}
","評估摘要","評估摘要。[以文字記錄整體判斷，並參照相關診斷、檢驗與措施。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.assessment.summary",1,1,"","","ClinicalImpression.summary"
"HAHCareDataset.assessment.assessor","HAHCareDataset.assessment.assessor","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","評估人員","評估人員。[應填入對應的 Practitioner／PractitionerRole Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.assessment.assessor",1,1,"","","ClinicalImpression.assessor"
"HAHCareDataset.assessment.time","HAHCareDataset.assessment.time","","","",1,1,"","","","dateTime {[]} {[]}
","評估時間","評估時間。[填入實際時間；包含時分時須提供時區。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.assessment.time",1,1,"","","ClinicalImpression.effectiveDateTime"
"HAHCareDataset.assessment.support","HAHCareDataset.assessment.support","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","支持證據","支持證據。[應填入對應的 Resource Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.assessment.support",0,*,"","","ClinicalImpression.supportingInfo"
"HAHCareDataset.procedure","HAHCareDataset.procedure","","","",0,*,"","","","BackboneElement {[]} {[]}
","已執行處置","已執行處置。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.procedure",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHProcedure"
"HAHCareDataset.procedure.id","HAHCareDataset.procedure.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.procedure.extension","HAHCareDataset.procedure.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.procedure.modifierExtension","HAHCareDataset.procedure.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.procedure.code","HAHCareDataset.procedure.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","處置項目","處置項目。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.procedure.code",1,1,"","","Procedure.code"
"HAHCareDataset.procedure.status","HAHCareDataset.procedure.status","","","",1,1,"","","","code {[]} {[]}
","處置狀態","處置狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/event-status","",,,,"HAHCareDataset.procedure.status",1,1,"","","Procedure.status"
"HAHCareDataset.procedure.period","HAHCareDataset.procedure.period","","","",0,1,"","","","Period {[]} {[]}
","執行期間","執行期間。[使用 start、end 填入起訖時間；尚未結束時不預填實際結束時間。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.procedure.period",0,1,"","","Procedure.performedPeriod"
"HAHCareDataset.procedure.performer","HAHCareDataset.procedure.performer","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","執行人員","執行人員。[應填入對應的 Practitioner／PractitionerRole Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.procedure.performer",1,*,"","","Procedure.performer.actor"
